StatLevel/internal05,Greater Yang
Story/D_6_5_3_135,"Thank goodness there's Master Wei; otherwise, I would have been pushed onto the stage at this moment and definitely become the target of everyone's arrows."
Story/D_6_5_3_134,"Thankfully there's Xiaoju; otherwise, I would have been forced onto the stage at this moment and become the target of everyone's arrows."
Story/D_6_5_3_133,So that's how it is
Story/D_6_5_3_132,"Is not unwilling to compete, but it's not the right time yet.  , the sect leader, is young. They need to wait for the elders of each sect to decline one round first, then propose the name, only then would it be proper according to etiquette."
Story/D_6_5_3_131,But...
Story/D_6_5_3_130,Senior Brother Danxiazi! Didn't you see the palm people shaking their heads and hands at you!
Story/D_6_5_3_129,"Cluck, Master Wei, why have you suddenly resorted to such poison?"
Story/D_6_5_3_128,"Cluck... Lady Jue, why did you suddenly use poison against your subordinates?"
Story/D_6_5_3_127,"I, a Kongtong Sect palm technique practitioner, can──"
Story/D_6_5_3_126,What do you want to do? Wait──
Story/D_6_5_3_125,It's my turn to show off
Story/D_6_5_3_124,Is this for real?
Story/D_6_5_3_123,"Aren't you from the Kongtong Palm Sect? Look at Kongtong over there. The General of Dao Law is wildly blinking his remaining eye, giving you a wink."
Story/D_6_5_3_122,Next is the Kongtong Sect
Story/D_6_5_3_121,"If it's me, I'll do it. Damn it, we need to be on our guard against him."
Story/D_6_5_3_120,Daoist Zou exudes righteousness; I doubt it
Story/D_6_5_3_119,"Qingcheng has a grudge with our sect. If they become the Leader of the Wulin Alliance, won't they take revenge for personal reasons?"
Story/D_6_5_3_118,"Daoist Zou appears upright and does not seem to collude with Li Renyou. But he won't listen no matter what is said. If the leader of Qingcheng dominates the Wulin, the Supreme Bliss Sect will roam freely. Our primary target on this mission is still Qingcheng."
Story/D_6_5_3_117,How is Qingcheng?
Story/D_6_5_3_204,"Daoist Master Zhou is upright and righteous; he won't harbor personal grudges. However, whether he will, for the sake of Wulin's justice, annihilate us remains uncertain."
Story/D_6_5_3_203,"Daoist Zou exuded integrity; it wouldn't happen. If he were to truly become the Alliance Leader, he would certainly uphold justice impartially and not favor his own disciples."
Story/D_6_5_3_202,"Qingcheng has a grudge with our sect. If Zou Palm Master becomes the Wulin Alliance Leader, won't he take revenge privately?"
Story/D_6_5_3_201,"Brother Dao Zou exuded righteous energy and would never consort with Li Renyou. Alas, he was deceived. If Qingcheng's leader were to take control of the Wulin, Supreme Bliss Sect's influence would proceed unimpeded. If Master Zou cannot awaken in time, we must still prevent Qingcheng from taking over Central Plains."
Story/D_6_5_3_215,"Senior Brother, weren't you beaten into Qingcheng to recuperate and then took the opportunity to study abroad for a while? What do you think of Qingcheng?"
Story/D_6_5_3_116,"No, please don't!"
Story/D_6_5_3_115,"Next time there's a martial arts competition, I'll send you to challenge the sect leader."
Story/D_6_5_3_114,"That is to say, giggles"
Story/D_6_5_3_113,"If that's the case, it would be funny."
Story/D_6_5_3_112,Alright
Story/D_6_5_3_111,"I don't know; I dare not say, and you shouldn't go around guessing wildly."
Story/D_6_5_3_110,"Not seeing him move, it's not very clear, but our sect's Forget Shape Chapter says exactly this. Martial Arts ultimate principles, though diverse in approach, all converge; don't underestimate the great masters of the world."
Story/D_6_5_3_109,"If it is tangible, it can be shattered; if it is formless, it is invincible."
Story/D_6_5_3_108,"Let me tell you, it's getting more and more intense"
Story/D_6_5_3_107,"What the heck is that? What kind of martial art is this, imitating yourself..."
Story/D_6_5_3_106,Then he might be able to perform the human form fist.
Story/D_6_5_3_105,......like a person?
Story/D_6_5_3_104,"Emei is skilled in Xingyi Quan. Some people practice Monkey Fist, Snake Style Fist, Crane Style Fist; you can punch the monkey, the snake, the crane. What does the headmaster resemble to you?"
Story/D_6_5_3_103,"Thus, it is clearly unusual"
Story/D_6_5_3_102,"In my view, the master's hidden sharpness is the mark of a true master. Clearly standing there, their posture is like rock, like pine, like wind, merged with nature."
Story/D_6_5_3_101,"You must have read too many legendary novels. In your view, is that bluffing?"
Story/D_6_5_3_100,Could it be a bluff? Maybe their martial arts aren't that great.
Story/D_6_5_3_099,"It's hard to say, Emei's sect leader is as graceful as the wind, it's not that they aren't famous, but particularly hard to grasp. They say their martial arts are strong, yet it seems there's no record of their achievements."
Story/D_6_5_3_098,How is the Emei Sect?
Story/D_6_5_3_097,"Perhaps they still came for the treasure of Wu Mu Wang. Then they'll come up empty, as Yunshang has been placed at home by me."
Story/D_6_5_3_096,I fear they still came here for Wu Mu Wang's treasure.
Story/D_6_5_3_095,"They didn't say a word, how could I know?"
Story/D_6_5_3_094,"Quanzhen and Songshan are both within the Jin state's territory, so they voluntarily stepped back to avoid suspicion. The Diancang sect is from Dali, so they naturally have no face to compete."
Story/D_6_5_3_093,"How is the Diancang sect, our sect's major enemy?"
Story/D_6_5_3_092,"That's going to be difficult. People in the Jianghu are not hard to deal with, but the Imperial Court won't agree first."
Story/D_6_5_3_091,"Our Sect Leader hasn't arrived. Otherwise, as leaders of the Wulin Alliance, we would also be enjoying some glory."
Story/D_6_5_3_090,Is one of the three major sect leaders and also one of the four sect heads.
Story/D_6_5_3_089,"Quanzhen won't do it, Songshan also has no intention. Then, by seniority, who's next?"
Story/T_6_5_3_013,"Oh hell, talking so much, isn't it just afraid of being killed by the Jurchens? Please, oh please~ It's just self‑deception, isn't it?"
Story/O_6_5_3_002,What nonesense
Story/T_6_5_3_012,"Juehui the Abbot has long secluded himself from the world and never involved in the Jianghu; setting that aside. Brother Daoist Yin is also a remarkable individual; if Quanzhen and Immortal Qiu were not around, he could have made an excellent Leader of the Wulin Alliance."
Story/O_6_5_3_001,The words of the two masters are full of wisdom.
Story/D_6_5_3_088,……。
Story/D_6_5_3_087,"Master, please wait‑I, the humble one, wish to inquire about Buddhist teachings!"
Story/D_6_5_3_086,"When the common people face hardship, the immortal enters the world; Buddhist teachings do not require cultivation, for cultivation lies in the person. The monk, moved by Qu Immortal's broad‑mindedness, has already made his decision. Younger brother, stop speaking further, follow me and retreat."
Story/D_6_5_3_085,"Senior Brother Juehui! You... you're saying what?  The common people are in distress, the capable must bear the burden. The Buddha said, If I do not enter the hell, who will?  Moreover, this is a great opportunity to restore the prestige of Songshan and advance in the practice of Buddhist teachings!"
Story/D_6_5_3_084,"Venerable at Withered Candles of Old Age, I have but little virtue and talent. Now, stepping in to oversee the Songshan Monastery, it is merely to prevent the transmission of Buddhist scriptures from ceasing. I dare not consider myself Abbot, nor do I wish my name to be recorded in the Chronicles of Passed Lamps after my death. This position as Alliance Leader of the Wulin is one I cannot bear either. Hence, I offer my thanks before any favor is bestowed upon me."
Story/D_6_5_3_083,I am flattered
Story/D_6_5_3_082,"I have no legal decree; I merely heard that Daoist Yin possesses great compassion, and this old monk was moved to speak, wishing to express his own views."
Story/D_6_5_3_081,"Brother, your words are correct. This master is one who was impossible to invite. Now I have the honor to meet this majestic presence. How fortunate I am! A humble devotee respectfully listens to the master's teachings."
Story/D_6_5_3_080,This must be High Monk Juehui from Songshan! This Great Awakened One emerging from seclusion to be the Leader of the Wulin Alliance is more than suitable!
Story/D_6_5_3_079,This is...
Story/D_6_5_3_078,Good! Good!
Story/D_6_5_3_077,"──If words can halt bloodshed, my sect would rather bear the eternal scorn of history. Even if the world does not understand, the Quanzhen Sect knows its own path, and I have spoken my final words."
Story/D_6_5_3_076,"Excuse me, Lord Song. I'll just say two more sentences, truly the last two. I'll never promise to speak for an entire hour and then ramble on endlessly, causing someone to faint from the scorching sun."
Story/D_6_5_3_075,"..., Daoist, there are quite a few officials present, so they must speak and act with great caution."
Story/D_6_5_3_074,"The Jin State also has good people; Jin people are also human beings, not born with a liking for being Jin people. Clearly, you've never met them, yet you wish for their death, dragging your own countrymen down. Speaking of it, you, the brother who pushes people to die, aren't you more like a butcher?"
Story/D_6_5_3_073,"Stop arguing, stop arguing. I'm not targeting you. After all, we're all just animals. Younger brother, you spoke hastily and earned a bit of face. You could have settled things peacefully, but you insisted on fighting. Friends die in places you can't see‑how can you bear that in your heart?"
Story/D_6_5_3_072,"You... you're saying that our Song Dynasty is weak, that we can only be cattle and sheep to be slaughtered at will? You're boosting the Jin people's morale and diminishing our Song Dynasty's prestige!"
Story/D_6_5_3_071,"I teach my followers to spread throughout the world, with devotees in the Song, Jin, Mongol, Western Xia, and all directions. The more devotees there are, the heavier the weight of my words becomes. While I still have the ability to speak, of course I should urge people to lay down their butcher's knives. Would I then advise cows and sheep not to be slaughtered?"
Story/D_6_5_3_070,"I, though a member of the Wulin, would also advise all of you, the laymen, not to keep thinking of clashing head‑on, which would harm the harmony of heaven and earth."
Story/D_6_5_3_069,"Whether Quanzhen takes shelter under the Jin or flatters the Mongols, let me ask: if I, a humble Daoist, do not cultivate familiarity with the powers, when the time comes for war, will the words of the Song people be heard by them?"
Story/D_6_5_3_068,"Fellow martial artists present, I, the humble monk, take this opportunity to clarify the matter. I hope no one will enter the Quanzhen Temple to destroy the incense burner and falsely accuse us of treason."
Story/D_6_5_3_067,Please let the Daoist speak freely
Story/D_6_5_3_066,"I'm not worthy, Resident Scholar Shangguan, may I say a couple more unrelated things?"
Story/D_6_5_3_065,"The Quanzhen Sect is broad‑minded and devoted to the country and people; I, the humble younger brother, admire them."
Story/D_6_5_3_064,"Indeed, however, the Quanzhen Sect supports the establishment of the Wulin Alliance, as long as they do not violate righteousness, they are willing to serve the Wulin."
Story/D_6_5_3_063,Brother Li means that the Quanzhen School has no intention of competing for the position of Alliance Leader in the Wulin Alliance?
Story/D_6_5_3_062,"He said that at his age, he could no longer handle the affairs of the Quanzhen sect with both heart and ability. How much more so could he be a leader among heroes? It was fitting to choose another skilled hero like the former Great Hero Long who had courage and decisiveness."
Story/T_6_5_3_011,Would Quanzhen Qu Immortal be entering the world?
Story/D_6_5_3_061,"Actually, before I departed from Zhongnan Mountain, my master was just in the mountains. The Quanzhen sect's actions were naturally also approved."
